11/03/21 	 17:10:59 	 2:+25.678C
11/03/21 	 17:11:02 	 2:+25.651C
11/03/21 	 17:11:05 	 2:+25.624C
11/03/21 	 17:11:09 	 2:+25.603C
11/03/21 	 17:11:12 	 2:+25.564C
11/03/21 	 17:11:15 	 2:+25.568C
11/03/21 	 17:11:18 	 2:+25.547C
11/03/21 	 17:11:21 	 2:+25.488C
11/03/21 	 17:11:24 	 2:+25.471C
11/03/21 	 17:11:27 	 2:+25.454C
11/03/21 	 17:11:30 	 2:+25.457C
11/03/21 	 17:11:33 	 2:+25.420C
11/03/21 	 17:11:36 	 2:+25.397C
11/03/21 	 17:11:39 	 2:+25.354C
11/03/21 	 17:11:42 	 2:+25.338C
11/03/21 	 17:11:46 	 2:+25.332C
11/03/21 	 17:11:49 	 2:+25.309C
11/03/21 	 17:11:52 	 2:+25.290C
11/03/21 	 17:11:55 	 2:+25.259C
11/03/21 	 17:11:58 	 2:+25.248C
11/03/21 	 17:12:01 	 2:+25.231C
11/03/21 	 17:12:04 	 2:+25.197C
11/03/21 	 17:12:07 	 2:+25.171C
11/03/21 	 17:12:10 	 2:+25.137C
11/03/21 	 17:12:13 	 2:+25.129C
11/03/21 	 17:12:16 	 2:+25.115C
11/03/21 	 17:12:19 	 2:+25.102C
11/03/21 	 17:12:23 	 2:+25.079C
11/03/21 	 17:12:26 	 2:+25.044C
11/03/21 	 17:12:29 	 2:+25.040C
11/03/21 	 17:12:32 	 2:+25.014C
11/03/21 	 17:12:35 	 2:+24.983C
11/03/21 	 17:12:38 	 2:+24.960C
11/03/21 	 17:12:41 	 2:+24.951C
11/03/21 	 17:12:44 	 2:+24.939C
11/03/21 	 17:12:47 	 2:+24.923C
11/03/21 	 17:12:50 	 2:+24.911C
11/03/21 	 17:12:53 	 2:+24.894C
11/03/21 	 17:12:57 	 2:+24.879C
11/03/21 	 17:13:00 	 2:+24.862C
11/03/21 	 17:13:03 	 2:+24.832C
11/03/21 	 17:13:06 	 2:+24.819C
11/03/21 	 17:13:09 	 2:+24.807C
11/03/21 	 17:13:12 	 2:+24.794C
11/03/21 	 17:13:15 	 2:+24.777C
11/03/21 	 17:13:18 	 2:+24.761C
11/03/21 	 17:13:21 	 2:+24.751C
11/03/21 	 17:13:24 	 2:+24.738C
11/03/21 	 17:13:27 	 2:+24.722C
11/03/21 	 17:13:30 	 2:+24.714C
11/03/21 	 17:13:34 	 2:+24.694C
11/03/21 	 17:13:37 	 2:+24.669C
11/03/21 	 17:13:40 	 2:+24.658C
11/03/21 	 17:13:43 	 2:+24.636C
11/03/21 	 17:13:46 	 2:+24.616C
11/03/21 	 17:13:49 	 2:+24.617C
11/03/21 	 17:13:52 	 2:+24.595C
11/03/21 	 17:13:55 	 2:+24.577C
11/03/21 	 17:13:58 	 2:+24.550C
11/03/21 	 17:14:01 	 2:+24.551C
11/03/21 	 17:14:04 	 2:+24.532C
11/03/21 	 17:14:07 	 2:+24.541C
11/03/21 	 17:14:11 	 2:+24.504C
11/03/21 	 17:14:14 	 2:+24.492C
11/03/21 	 17:14:17 	 2:+24.469C
11/03/21 	 17:14:20 	 2:+24.459C
11/03/21 	 17:14:23 	 2:+24.451C
