2021-03-17 16:36:29	2:+32.765C
2021-03-17 16:36:32	2:+32.695C
2021-03-17 16:36:35	2:+32.634C
2021-03-17 16:36:38	2:+32.555C
2021-03-17 16:36:41	2:+32.490C
2021-03-17 16:36:44	2:+32.432C
2021-03-17 16:36:47	2:+32.338C
2021-03-17 16:36:50	2:+32.264C
2021-03-17 16:36:53	2:+32.185C
2021-03-17 16:36:56	2:+32.117C
2021-03-17 16:36:59	2:+32.063C
2021-03-17 16:37:02	2:+31.982C
2021-03-17 16:37:06	2:+31.929C
2021-03-17 16:37:09	2:+31.825C
2021-03-17 16:37:12	2:+31.756C
2021-03-17 16:37:15	2:+31.689C
2021-03-17 16:37:18	2:+31.619C
2021-03-17 16:37:21	2:+31.537C
2021-03-17 16:37:24	2:+31.481C
2021-03-17 16:37:27	2:+31.431C
2021-03-17 16:37:30	2:+31.373C
2021-03-17 16:37:33	2:+31.334C
2021-03-17 16:37:36	2:+31.274C
2021-03-17 16:37:40	2:+31.211C
2021-03-17 16:37:43	2:+31.161C
2021-03-17 16:37:46	2:+31.110C
2021-03-17 16:37:49	2:+31.051C
2021-03-17 16:37:52	2:+30.992C
2021-03-17 16:37:55	2:+30.923C
2021-03-17 16:37:58	2:+30.866C
2021-03-17 16:38:01	2:+30.814C
2021-03-17 16:38:04	2:+30.763C
2021-03-17 16:38:07	2:+30.707C
2021-03-17 16:38:04	2:+30.763C
2021-03-17 16:38:07	2:+30.707C
2021-03-17 16:38:10	2:+30.653C
2021-03-17 16:38:13	2:+30.581C
2021-03-17 16:38:17	2:+30.541C
2021-03-17 16:38:20	2:+30.486C
2021-03-17 16:38:23	2:+30.421C
2021-03-17 16:38:26	2:+30.375C
2021-03-17 16:38:29	2:+30.325C
2021-03-17 16:38:32	2:+30.275C
2021-03-17 16:38:35	2:+30.225C
2021-03-17 16:38:38	2:+30.177C
2021-03-17 16:38:41	2:+30.123C
2021-03-17 16:38:44	2:+30.063C
2021-03-17 16:38:47	2:+30.008C
2021-03-17 16:38:51	2:+29.964C
2021-03-17 16:38:54	2:+29.922C
2021-03-17 16:38:57	2:+29.876C
2021-03-17 16:39:00	2:+29.828C
